urn:cite2:hmt:msA.v1:Page,IliadLine
urn:cite2:hmt:msA.v1:56r,urn:cts:greekLit:tlg0012.tlg001:4.240-4.241
urn:cite2:hmt:msA.v1:56r,urn:cts:greekLit:tlg0012.tlg001:4.242-4.449
urn:cite2:hmt:msA.v1:56r,urn:cts:greekLit:tlg0012.tlg001:4.250-4.256
urn:cite2:hmt:msA.v1:56r,urn:cts:greekLit:tlg0012.tlg001:4.257-4.265
urn:cite2:hmt:msA.v1:56v,urn:cts:greekLit:tlg0012.tlg001:4.266-4.271
urn:cite2:hmt:msA.v1:56v,urn:cts:greekLit:tlg0012.tlg001:4.272-4.284
urn:cite2:hmt:msA.v1:57r,urn:cts:greekLit:tlg0012.tlg001:4.285-4.291
urn:cite2:hmt:msA.v1:57r,urn:cts:greekLit:tlg0012.tlg001:4.292-4.312
urn:cite2:hmt:msA.v1:57v,urn:cts:greekLit:tlg0012.tlg001:4.313-4.317
urn:cite2:hmt:msA.v1:57v,urn:cts:greekLit:tlg0012.tlg001:4.318-4.325
urn:cite2:hmt:msA.v1:57v,urn:cts:greekLit:tlg0012.tlg001:4.326-4.337
urn:cite2:hmt:msA.v1:58r,urn:cts:greekLit:tlg0012.tlg001:4.338-4.349
urn:cite2:hmt:msA.v1:58r,urn:cts:greekLit:tlg0012.tlg001:4.350-4.357
urn:cite2:hmt:msA.v1:58r,urn:cts:greekLit:tlg0012.tlg001:4.358-4.363
urn:cite2:hmt:msA.v1:58v,urn:cts:greekLit:tlg0012.tlg001:4.364-4.369
urn:cite2:hmt:msA.v1:58v,urn:cts:greekLit:tlg0012.tlg001:4.370-4.400
urn:cite2:hmt:msA.v1:59r,urn:cts:greekLit:tlg0012.tlg001:4.401-4.403
urn:cite2:hmt:msA.v1:59r,urn:cts:greekLit:tlg0012.tlg001:4.404-4.411
urn:cite2:hmt:msA.v1:59v,urn:cts:greekLit:tlg0012.tlg001:4.412-4.418
urn:cite2:hmt:msA.v1:59v,urn:cts:greekLit:tlg0012.tlg001:4.419-4.421
urn:cite2:hmt:msA.v1:59v,urn:cts:greekLit:tlg0012.tlg001:4.422-4.508
urn:cite2:hmt:msA.v1:61v,urn:cts:greekLit:tlg0012.tlg001:4.509-4.513
urn:cite2:hmt:msA.v1:62r,urn:cts:greekLit:tlg0012.tlg001:4.514-4.544
urn:cite2:hmt:msA.v1:62r,urn:cts:greekLit:tlg0012.tlg001:5.1-5.8
urn:cite2:hmt:msA.v1:62r,urn:cts:greekLit:tlg0012.tlg001:5.9-5.30
urn:cite2:hmt:msA.v1:62v,urn:cts:greekLit:tlg0012.tlg001:5.31-5.34
urn:cite2:hmt:msA.v1:63r,urn:cts:greekLit:tlg0012.tlg001:5.35-5.48
urn:cite2:hmt:msA.v1:63r,urn:cts:greekLit:tlg0012.tlg001:5.49-5.68
urn:cite2:hmt:msA.v1:63v,urn:cts:greekLit:tlg0012.tlg001:5.69-5.75
urn:cite2:hmt:msA.v1:63v,urn:cts:greekLit:tlg0012.tlg001:5.76-5.83
urn:cite2:hmt:msA.v1:63v,urn:cts:greekLit:tlg0012.tlg001:5.84-5.101
urn:cite2:hmt:msA.v1:64r,urn:cts:greekLit:tlg0012.tlg001:5.102-5.110
urn:cite2:hmt:msA.v1:64v,urn:cts:greekLit:tlg0012.tlg001:5.111-5.114
urn:cite2:hmt:msA.v1:64v,urn:cts:greekLit:tlg0012.tlg001:5.115-5.120
urn:cite2:hmt:msA.v1:64v,urn:cts:greekLit:tlg0012.tlg001:5.121-5.123
urn:cite2:hmt:msA.v1:64v,urn:cts:greekLit:tlg0012.tlg001:5.124-5.132
urn:cite2:hmt:msA.v1:64v,urn:cts:greekLit:tlg0012.tlg001:5.133-5.160
urn:cite2:hmt:msA.v1:65v,urn:cts:greekLit:tlg0012.tlg001:5.161-5.170
urn:cite2:hmt:msA.v1:65v,urn:cts:greekLit:tlg0012.tlg001:5.171-5.179
urn:cite2:hmt:msA.v1:65v,urn:cts:greekLit:tlg0012.tlg001:5.180-5.217
urn:cite2:hmt:msA.v1:66v,urn:cts:greekLit:tlg0012.tlg001:5.218-5.229
urn:cite2:hmt:msA.v1:66v,urn:cts:greekLit:tlg0012.tlg001:5.230-5.238
urn:cite2:hmt:msA.v1:67r,urn:cts:greekLit:tlg0012.tlg001:5.239-5.242
urn:cite2:hmt:msA.v1:67r,urn:cts:greekLit:tlg0012.tlg001:5.243-5.251
urn:cite2:hmt:msA.v1:67r,urn:cts:greekLit:tlg0012.tlg001:5.252-5.276
urn:cite2:hmt:msA.v1:67v,urn:cts:greekLit:tlg0012.tlg001:5.277-5.279
urn:cite2:hmt:msA.v1:67v,urn:cts:greekLit:tlg0012.tlg001:5.280-5.283
urn:cite2:hmt:msA.v1:67v,urn:cts:greekLit:tlg0012.tlg001:5.284-5.286
urn:cite2:hmt:msA.v1:68r,urn:cts:greekLit:tlg0012.tlg001:5.287-5.289
urn:cite2:hmt:msA.v1:68r,urn:cts:greekLit:tlg0012.tlg001:5.290-5.654
urn:cite2:hmt:msA.v1:75r,urn:cts:greekLit:tlg0012.tlg001:5.655-5.683
urn:cite2:hmt:msA.v1:75v,urn:cts:greekLit:tlg0012.tlg001:5.684-5.688
urn:cite2:hmt:msA.v1:76r,urn:cts:greekLit:tlg0012.tlg001:5.689-5.698
urn:cite2:hmt:msA.v1:76r,urn:cts:greekLit:tlg0012.tlg001:5.699-5.713
urn:cite2:hmt:msA.v1:76v,urn:cts:greekLit:tlg0012.tlg001:5.714-5.718
urn:cite2:hmt:msA.v1:76v,urn:cts:greekLit:tlg0012.tlg001:5.719-5.756
urn:cite2:hmt:msA.v1:77r,urn:cts:greekLit:tlg0012.tlg001:5.757-5.764
urn:cite2:hmt:msA.v1:77v,urn:cts:greekLit:tlg0012.tlg001:5.765-5.766
urn:cite2:hmt:msA.v1:77v,urn:cts:greekLit:tlg0012.tlg001:5.767-5.876
urn:cite2:hmt:msA.v1:78r,urn:cts:greekLit:tlg0012.tlg001:5.787-5.791
urn:cite2:hmt:msA.v1:78r,urn:cts:greekLit:tlg0012.tlg001:5.792-5.799
