Page,IliadLine
urn:cite2:hmt:msApages.v1:41r,urn:cts:greekLit:tlg0012.tlg001.msA:2.862
urn:cite2:hmt:msApages.v1:41r,urn:cts:greekLit:tlg0012.tlg001.msA:2.864
urn:cite2:hmt:msApages.v1:41v,urn:cts:greekLit:tlg0012.tlg001.msA:2.867
urn:cite2:hmt:msApages.v1:41v,urn:cts:greekLit:tlg0012.tlg001.msA:2.876
urn:cite2:hmt:msApages.v1:42r,urn:cts:greekLit:tlg0012.tlg001.msA:3.10
urn:cite2:hmt:msApages.v1:42r,urn:cts:greekLit:tlg0012.tlg001.msA:3.15
urn:cite2:hmt:msApages.v1:42v,urn:cts:greekLit:tlg0012.tlg001.msA:3.30
urn:cite2:hmt:msApages.v1:42v,urn:cts:greekLit:tlg0012.tlg001.msA:3.33
urn:cite2:hmt:msApages.v1:42v,urn:cts:greekLit:tlg0012.tlg001.msA:3.39
urn:cite2:hmt:msApages.v1:43r,urn:cts:greekLit:tlg0012.tlg001.msA:3.59
urn:cite2:hmt:msApages.v1:43v,urn:cts:greekLit:tlg0012.tlg001.msA:3.82
urn:cite2:hmt:msApages.v1:43v,urn:cts:greekLit:tlg0012.tlg001.msA:3.84
urn:cite2:hmt:msApages.v1:43v,urn:cts:greekLit:tlg0012.tlg001.msA:3.86
urn:cite2:hmt:msApages.v1:43v,urn:cts:greekLit:tlg0012.tlg001.msA:3.95
urn:cite2:hmt:msApages.v1:43v,urn:cts:greekLit:tlg0012.tlg001.msA:3.97
urn:cite2:hmt:msApages.v1:44r,urn:cts:greekLit:tlg0012.tlg001.msA:3.111
urn:cite2:hmt:msApages.v1:44r,urn:cts:greekLit:tlg0012.tlg001.msA:3.121
urn:cite2:hmt:msApages.v1:44v,urn:cts:greekLit:tlg0012.tlg001.msA:3.130
urn:cite2:hmt:msApages.v1:44v,urn:cts:greekLit:tlg0012.tlg001.msA:3.139
urn:cite2:hmt:msApages.v1:44v,urn:cts:greekLit:tlg0012.tlg001.msA:3.146
urn:cite2:hmt:msApages.v1:45r,urn:cts:greekLit:tlg0012.tlg001.msA:3.156
urn:cite2:hmt:msApages.v1:45r,urn:cts:greekLit:tlg0012.tlg001.msA:3.162
urn:cite2:hmt:msApages.v1:45r,urn:cts:greekLit:tlg0012.tlg001.msA:3.172
urn:cite2:hmt:msApages.v1:45v,urn:cts:greekLit:tlg0012.tlg001.msA:3.182
urn:cite2:hmt:msApages.v1:45v,urn:cts:greekLit:tlg0012.tlg001.msA:3.191
urn:cite2:hmt:msApages.v1:45v,urn:cts:greekLit:tlg0012.tlg001.msA:3.192
urn:cite2:hmt:msApages.v1:45v,urn:cts:greekLit:tlg0012.tlg001.msA:3.200
urn:cite2:hmt:msApages.v1:46r,urn:cts:greekLit:tlg0012.tlg001.msA:3.204
urn:cite2:hmt:msApages.v1:46r,urn:cts:greekLit:tlg0012.tlg001.msA:3.226
urn:cite2:hmt:msApages.v1:46v,urn:cts:greekLit:tlg0012.tlg001.msA:3.229
urn:cite2:hmt:msApages.v1:46v,urn:cts:greekLit:tlg0012.tlg001.msA:3.243
urn:cite2:hmt:msApages.v1:46v,urn:cts:greekLit:tlg0012.tlg001.msA:3.250
urn:cite2:hmt:msApages.v1:47r,urn:cts:greekLit:tlg0012.tlg001.msA:3.259
urn:cite2:hmt:msApages.v1:47r,urn:cts:greekLit:tlg0012.tlg001.msA:3.276
urn:cite2:hmt:msApages.v1:47v,urn:cts:greekLit:tlg0012.tlg001.msA:3.292
urn:cite2:hmt:msApages.v1:47v,urn:cts:greekLit:tlg0012.tlg001.msA:3.298
urn:cite2:hmt:msApages.v1:48r,urn:cts:greekLit:tlg0012.tlg001.msA:3.302
urn:cite2:hmt:msApages.v1:48r,urn:cts:greekLit:tlg0012.tlg001.msA:3.304
urn:cite2:hmt:msApages.v1:48r,urn:cts:greekLit:tlg0012.tlg001.msA:3.310
urn:cite2:hmt:msApages.v1:48r,urn:cts:greekLit:tlg0012.tlg001.msA:3.314
urn:cite2:hmt:msApages.v1:48r,urn:cts:greekLit:tlg0012.tlg001.msA:3.320
urn:cite2:hmt:msApages.v1:48r,urn:cts:greekLit:tlg0012.tlg001.msA:3.324
urn:cite2:hmt:msApages.v1:48v,urn:cts:greekLit:tlg0012.tlg001.msA:3.340
urn:cite2:hmt:msApages.v1:48v,urn:cts:greekLit:tlg0012.tlg001.msA:3.346
urn:cite2:hmt:msApages.v1:48v,urn:cts:greekLit:tlg0012.tlg001.msA:3.351
urn:cite2:hmt:msApages.v1:49r,urn:cts:greekLit:tlg0012.tlg001.msA:3.355
urn:cite2:hmt:msApages.v1:49r,urn:cts:greekLit:tlg0012.tlg001.msA:3.365
urn:cite2:hmt:msApages.v1:49r,urn:cts:greekLit:tlg0012.tlg001.msA:3.369
urn:cite2:hmt:msApages.v1:49v,urn:cts:greekLit:tlg0012.tlg001.msA:3.390
urn:cite2:hmt:msApages.v1:49v,urn:cts:greekLit:tlg0012.tlg001.msA:3.395
urn:cite2:hmt:msApages.v1:50r,urn:cts:greekLit:tlg0012.tlg001.msA:3.414
urn:cite2:hmt:msApages.v1:50r,urn:cts:greekLit:tlg0012.tlg001.msA:3.418
urn:cite2:hmt:msApages.v1:50v,urn:cts:greekLit:tlg0012.tlg001.msA:3.438
urn:cite2:hmt:msApages.v1:50v,urn:cts:greekLit:tlg0012.tlg001.msA:3.447
urn:cite2:hmt:msApages.v1:51r,urn:cts:greekLit:tlg0012.tlg001.msA:3.456
urn:cite2:hmt:msApages.v1:51r,urn:cts:greekLit:tlg0012.tlg001.msA:4.7
urn:cite2:hmt:msApages.v1:51v,urn:cts:greekLit:tlg0012.tlg001.msA:4.20
urn:cite2:hmt:msApages.v1:51v,urn:cts:greekLit:tlg0012.tlg001.msA:4.25
urn:cite2:hmt:msApages.v1:51v,urn:cts:greekLit:tlg0012.tlg001.msA:4.31
urn:cite2:hmt:msApages.v1:52r,urn:cts:greekLit:tlg0012.tlg001.msA:4.51
urn:cite2:hmt:msApages.v1:52v,urn:cts:greekLit:tlg0012.tlg001.msA:4.68
urn:cite2:hmt:msApages.v1:52v,urn:cts:greekLit:tlg0012.tlg001.msA:4.70
urn:cite2:hmt:msApages.v1:52v,urn:cts:greekLit:tlg0012.tlg001.msA:4.73
urn:cite2:hmt:msApages.v1:52v,urn:cts:greekLit:tlg0012.tlg001.msA:4.82
urn:cite2:hmt:msApages.v1:53r,urn:cts:greekLit:tlg0012.tlg001.msA:4.85
urn:cite2:hmt:msApages.v1:53r,urn:cts:greekLit:tlg0012.tlg001.msA:4.93
urn:cite2:hmt:msApages.v1:53r,urn:cts:greekLit:tlg0012.tlg001.msA:4.104
urn:cite2:hmt:msApages.v1:54r,urn:cts:greekLit:tlg0012.tlg001.msA:4.155
urn:cite2:hmt:msApages.v1:55r,urn:cts:greekLit:tlg0012.tlg001.msA:4.184
urn:cite2:hmt:msApages.v1:55r,urn:cts:greekLit:tlg0012.tlg001.msA:4.189
urn:cite2:hmt:msApages.v1:55r,urn:cts:greekLit:tlg0012.tlg001.msA:4.192
urn:cite2:hmt:msApages.v1:55r,urn:cts:greekLit:tlg0012.tlg001.msA:4.198
urn:cite2:hmt:msApages.v1:55r,urn:cts:greekLit:tlg0012.tlg001.msA:4.204
urn:cite2:hmt:msApages.v1:55r,urn:cts:greekLit:tlg0012.tlg001.msA:4.208
urn:cite2:hmt:msApages.v1:56r,urn:cts:greekLit:tlg0012.tlg001.msA:4.234
urn:cite2:hmt:msApages.v1:56r,urn:cts:greekLit:tlg0012.tlg001.msA:4.240
urn:cite2:hmt:msApages.v1:56r,urn:cts:greekLit:tlg0012.tlg001.msA:4.242
urn:cite2:hmt:msApages.v1:56r,urn:cts:greekLit:tlg0012.tlg001.msA:4.250
urn:cite2:hmt:msApages.v1:56r,urn:cts:greekLit:tlg0012.tlg001.msA:4.257
urn:cite2:hmt:msApages.v1:56v,urn:cts:greekLit:tlg0012.tlg001.msA:4.266
urn:cite2:hmt:msApages.v1:56v,urn:cts:greekLit:tlg0012.tlg001.msA:4.272
urn:cite2:hmt:msApages.v1:57r,urn:cts:greekLit:tlg0012.tlg001.msA:4.285
urn:cite2:hmt:msApages.v1:57r,urn:cts:greekLit:tlg0012.tlg001.msA:4.292
urn:cite2:hmt:msApages.v1:57v,urn:cts:greekLit:tlg0012.tlg001.msA:4.313
